iter	Passed	Remaining
432	1484	1944
433	1488	1941
434	1490	1936
435	1492	1930
436	1495	1926
437	1497	1921
438	1499	1916
439	1502	1912
440	1504	1907
441	1508	1903
442	1510	1898
443	1512	1893
444	1515	1889
445	1518	1885
446	1520	1880
447	1522	1876
448	1524	1871
449	1528	1867
450	1531	1864
451	1533	1859
452	1536	1855
453	1538	1850
454	1541	1846
455	1545	1843
456	1547	1838
457	1549	1833
458	1551	1828
459	1553	1823
460	1555	1818
461	1558	1814
462	1560	1810
463	1562	1805
464	1564	1800
465	1568	1796
466	1570	1792
467	1573	1788
468	1575	1783
469	1577	1778
470	1579	1774
471	1581	1769
472	1583	1764
473	1586	1760
474	1589	1756
475	1592	1753
476	1594	1748
477	1597	1744
478	1600	1740
479	1604	1738
480	1607	1734
481	1609	1729
482	1611	1725
483	1613	1720
484	1617	1717
485	1620	1713
486	1622	1709
487	1625	1705
488	1628	1701
489	1638	1705
490	1643	1703
491	1648	1701
492	1652	1699
493	1658	1699
494	1662	1695
495	1665	1692
496	1669	1689
497	1671	1685
498	1673	1680
499	1675	1675
500	1679	1672
501	1688	1674
502	1693	1673
503	1696	1669
504	1698	1665
505	1701	1661
506	1704	1657
507	1708	1654
508	1709	1649
509	1712	1645
510	1715	1641
511	1719	1638
512	1722	1635
513	1725	1631
514	1728	1627
515	1753	1644
516	1756	1640
517	1758	1635
518	1760	1631
519	1763	1628
520	1766	1623
521	1770	1621
522	1772	1616
523	1775	1613
524	1777	1608
525	1782	1606
526	1785	1602
527	1789	1599
528	1793	1596
529	1796	1593
530	1800	1590
531	1803	1586
532	1808	1584
533	1810	1579
534	1815	1577
535	1817	1573
536	1819	1568
537	1826	1568
538	1829	1565
539	1832	1560
540	1834	1556
541	1838	1553
542	1840	1548
543	1842	1544
544	1844	1539
545	1846	1535
546	1848	1530
547	1851	1527
548	1853	1522
549	1855	1518
550	1857	1513
551	1859	1509
552	1861	1504
553	1864	1500
554	1867	1497
555	1870	1493
556	1872	1489
557	1874	1484
558	1876	1480
559	1880	1477
560	1883	1474
561	1885	1469
562	1888	1465
563	1890	1461
564	1895	1459
565	1898	1455
566	1899	1450
567	1901	1446
568	1904	1442
569	1908	1439
570	1910	1435
571	1912	1431
572	1914	1426
573	1918	1423
574	1923	1421
575	1925	1417
576	1927	1413
577	1930	1409
578	1933	1405
579	1937	1402
580	1942	1400
581	1945	1397
582	1949	1394
583	1954	1391
584	1956	1387
585	1959	1384
586	1962	1380
587	1964	1376
588	1967	1373
589	1975	1372
590	1978	1369
591	1982	1366
592	1985	1362
593	1987	1358
594	1989	1354
595	1991	1350
596	1999	1349
597	2002	1346
598	2005	1342
599	2007	1338
600	2011	1335
601	2016	1333
602	2051	1350
603	2056	1348
604	2059	1344
605	2061	1340
606	2062	1335
607	2066	1332
608	2074	1331
609	2076	1327
610	2079	1323
611	2081	1319
612	2084	1315
613	2088	1312
614	2090	1308
615	2092	1304
616	2095	1300
617	2098	1296
618	2101	1293
619	2103	1289
620	2105	1285
621	2108	1281
622	2111	1277
623	2118	1276
624	2122	1273
625	2125	1270
626	2129	1267
627	2132	1263
628	2135	1259
629	2138	1255
630	2140	1251
631	2143	1248
632	2148	1245
633	2151	1242
634	2154	1238
635	2156	1234
636	2159	1230
637	2161	1226
638	2166	1224
639	2173	1222
640	2175	1218
641	2189	1220
642	2195	1219
643	2200	1216
644	2216	1219
645	2220	1216
646	2224	1213
647	2229	1211
648	2232	1207
649	2237	1204
650	2243	1202
651	2246	1198
652	2249	1195
653	2253	1192
654	2256	1188
655	2259	1184
656	2262	1181
657	2267	1178
658	2271	1175
659	2275	1172
660	2277	1167
661	2280	1164
662	2283	1160
663	2286	1157
664	2288	1153
665	2291	1149
666	2294	1145
667	2297	1141
668	2320	1147
669	2328	1147
670	2331	1143
671	2333	1139
672	2337	1135
673	2343	1133
674	2347	1130
675	2351	1126
676	2354	1123
677	2357	1119
678	2360	1115
679	2362	1111
680	2366	1108
681	2369	1104
682	2375	1102
683	2378	1099
684	2380	1094
685	2383	1090
686	2386	1087
687	2388	1083
688	2391	1079
689	2393	1075
690	2395	1071
691	2398	1067
692	2400	1063
693	2402	1059
694	2405	1055
695	2408	1052
696	2411	1048
697	2414	1044
698	2417	1040
699	2419	1037
700	2424	1034
701	2426	1030
702	2429	1026
703	2432	1022
704	2434	1018
705	2437	1014
706	2442	1012
707	2444	1008
708	2447	1004
709	2448	999
710	2450	996
711	2458	994
712	2461	990
713	2464	987
714	2467	983
715	2471	980
716	2474	976
717	2477	973
718	2481	969
719	2488	967
720	2490	963
721	2493	960
722	2495	956
723	2498	952
724	2501	948
725	2503	944
726	2505	940
727	2509	937
728	2514	934
729	2518	931
730	2520	927
731	2523	923
732	2525	919
733	2528	916
734	2530	912
735	2536	909
736	2538	906
737	2543	902
738	2545	899
739	2550	895
740	2552	892
741	2555	888
742	2559	885
743	2583	888
744	2586	885
745	2590	881
746	2593	878
747	2599	875
748	2608	874
749	2610	870
750	2614	866
751	2623	865
752	2628	862
753	2635	859
754	2637	856
755	2640	852
756	2645	849
757	2650	846
758	2651	841
759	2653	837
760	2655	833
761	2657	829
762	2659	826
763	2661	822
764	2664	818
765	2666	814
766	2668	810
767	2670	806
768	2672	802
769	2674	798
770	2676	795
771	2678	791
772	2680	787
773	2682	783
774	2684	779
775	2687	775
776	2690	772
777	2692	768
778	2694	764
779	2696	760
780	2698	756
781	2710	755
782	2712	751
783	2718	748
784	2721	745
785	2748	748
786	2753	745
787	2755	741
788	2757	737
789	2758	733
790	2762	729
791	2765	726
792	2768	722
793	2770	718
794	2773	715
795	2775	711
796	2778	707
797	2782	704
798	2784	700
799	2787	696
800	2791	693
801	2800	691
802	2803	687
803	2805	683
804	2810	680
805	2815	677
806	2818	674
807	2825	671
808	2827	667
809	2829	663
810	2831	659
811	2832	655
812	2834	652
813	2838	648
814	2841	644
815	2843	641
816	2845	637
817	2847	633
818	2849	629
819	2853	626
820	2855	622
821	2857	618
822	2859	615
823	2861	611
824	2862	607
825	2864	603
826	2867	599
827	2869	596
828	2871	592
829	2874	588
830	2876	584
831	2879	581
832	2881	577
833	2883	573
834	2885	570
835	2887	566
836	2890	562
837	2895	559
838	2897	556
839	2900	552
840	2902	548
841	2903	544
842	2906	541
843	2909	537
844	2911	534
845	2913	530
846	2915	526
847	2918	523
848	2923	520
849	2926	516
850	2928	512
851	2930	508
852	2932	505
853	2934	501
854	2937	498
855	2940	494
856	2942	490
857	2943	487
858	2946	483
859	2948	480
860	2951	476
861	2954	473
862	2956	469
863	2961	466
864	2965	462
865	2971	459
866	2974	456
867	2977	452
868	2984	449
869	3007	449
870	3014	446
871	3017	442
872	3020	439
873	3024	436
874	3029	432
875	3031	429
876	3033	425
877	3035	421
878	3038	418
879	3041	414
880	3044	411
881	3046	407
882	3048	403
883	3050	400
884	3052	396
885	3056	393
886	3059	389
887	3061	386
888	3062	382
889	3064	378
890	3067	375
891	3070	371
892	3072	368
893	3074	364
894	3076	360
895	3078	357
896	3081	353
897	3086	350
898	3089	347
899	3092	343
900	3094	340
901	3096	336
902	3100	333
903	3103	329
904	3109	326
905	3112	322
906	3115	319
907	3117	315
908	3119	312
909	3122	308
910	3124	305
911	3129	301
912	3135	298
913	3140	295
914	3145	292
915	3147	288
916	3150	285
917	3153	281
918	3160	278
919	3163	275
920	3166	271
921	3168	268
922	3170	264
923	3174	261
