iter	Logloss
0	0.6879045719
1	0.6828535648
2	0.6783135463
3	0.6728698867
4	0.6680911653
5	0.663415993
6	0.6602034106
7	0.6553305727
8	0.6499916731
9	0.6463995349
10	0.6415333217
11	0.6368309858
12	0.6326124202
13	0.62880413
14	0.6249366388
15	0.6210075115
16	0.6177960841
17	0.6138004158
18	0.6098403058
19	0.6068137992
20	0.6029828147
21	0.600496322
22	0.5965183867
23	0.5928458086
24	0.5898893152
25	0.5876816911
26	0.5842901595
27	0.5815379706
28	0.5775199784
29	0.5749522504
30	0.5719260959
31	0.5682051748
32	0.5649906724
33	0.5614895401
34	0.5581967359
35	0.5555586542
36	0.5521495231
37	0.5490423774
38	0.5458451046
39	0.5427993888
40	0.5408287335
41	0.5378876449
42	0.5348182097
43	0.5316280602
44	0.528717086
45	0.5265348651
46	0.5240009756
47	0.5209324207
48	0.5183027688
49	0.5155973949
50	0.5123823978
51	0.5106301535
52	0.5071979189
53	0.5046966832
54	0.5025003913
55	0.5017759449
56	0.500115992
57	0.4983109345
58	0.4956707899
59	0.4929671626
60	0.4900740894
61	0.4882145562
62	0.4861229712
63	0.4845706312
64	0.4818971965
65	0.479354096
66	0.477161432
67	0.4746350775
68	0.4722710559
69	0.4702049775
70	0.4684492468
71	0.466379075
72	0.4639642247
73	0.4613840584
74	0.4590366283
75	0.4572655822
76	0.4552265643
77	0.4531197841
78	0.4504076686
79	0.4480934717
80	0.4459710604
81	0.4448094293
82	0.4425833835
83	0.4410409306
84	0.439135037
85	0.436857656
86	0.4352328215
87	0.4329655669
88	0.431527958
89	0.4293611755
90	0.4276661512
91	0.42571049
92	0.4235614617
93	0.4219110693
94	0.419845164
95	0.4183755365
96	0.4179296993
97	0.4167994289
98	0.41531724
99	0.4136134984
100	0.411503012
101	0.4101536226
102	0.4089817704
103	0.4078236672
104	0.4062210563
105	0.4046596835
106	0.4032835497
107	0.4014096921
108	0.3997231417
109	0.3982795299
110	0.3962626893
111	0.3948910636
112	0.39330767
113	0.3912876104
114	0.3897197512
115	0.388146741
116	0.3863591257
117	0.3855721891
118	0.3842849613
119	0.3832384253
120	0.382242223
121	0.3807050453
122	0.379017715
123	0.3779896882
124	0.3765339111
125	0.3754713706
126	0.3742157617
127	0.3726807449
128	0.3712294716
129	0.3698863825
130	0.3685164491
131	0.3674164626
132	0.3662279405
133	0.3656339404
134	0.3643100575
135	0.363270621
136	0.3622580212
137	0.3609963287
138	0.3600420397
139	0.358844346
140	0.3585962604
141	0.3572475225
142	0.3563914426
143	0.3560142438
144	0.3554999943
145	0.3541635311
146	0.3529148205
147	0.3517837437
148	0.3509006342
149	0.3500479523
150	0.3487806138
151	0.3476209854
152	0.3465686902
153	0.3458731111
154	0.3444210647
155	0.3436281103
156	0.342453477
157	0.3413713929
158	0.3405883185
159	0.3396244627
160	0.3385174968
161	0.3373203559
162	0.3363276851
163	0.3355536104
164	0.334608615
165	0.3336164765
166	0.3323376298
167	0.3309973094
168	0.3297443477
169	0.3288372711
170	0.3282298313
171	0.3273484644
172	0.3262512533
173	0.3256047081
174	0.3245527641
175	0.3236421945
176	0.3230002631
177	0.322015573
178	0.3211087341
179	0.3200484772
180	0.3193964079
181	0.3186512754
182	0.317893894
183	0.3173189266
184	0.316561733
185	0.3156712871
186	0.3146823458
187	0.3136073711
188	0.3132898887
189	0.3123717514
190	0.311535985
191	0.310784275
192	0.310110333
193	0.3098174734
194	0.3091419543
195	0.3081150372
196	0.3072614947
197	0.3065219821
198	0.3058304874
199	0.3052462613
200	0.3045705965
201	0.3038177158
202	0.3030046427
203	0.3021245518
204	0.3016132247
205	0.3011918052
206	0.3003488339
207	0.2999796044
208	0.2994144478
209	0.2988762515
210	0.297997382
211	0.2975588613
212	0.2968345599
213	0.2966177559
214	0.2958343536
215	0.2952283886
216	0.2944398148
217	0.2939289091
218	0.2934380045
219	0.2928313393
220	0.2922701788
221	0.2914167623
222	0.2909348455
223	0.2903202364
224	0.2897694103
225	0.2891259201
226	0.2884473721
227	0.2878749363
228	0.2873259264
229	0.2865264194
230	0.2858940961
231	0.2854151544
232	0.2847861452
233	0.2842776918
234	0.283912132
235	0.2833307479
236	0.2826489959
237	0.2819964197
238	0.281241131
239	0.280631825
240	0.2798829134
241	0.2793215961
242	0.2787777229
243	0.27816258
244	0.2775398639
245	0.2770273717
246	0.2761345987
247	0.2756409027
248	0.2749013465
249	0.2742960596
250	0.2739791894
251	0.2733601613
252	0.2727823139
253	0.2721955649
254	0.2712597546
255	0.2707651739
256	0.2700296042
257	0.2694854095
258	0.2687834109
259	0.2683441591
260	0.2675105155
261	0.2668186446
262	0.2663800289
263	0.2660421287
264	0.2651856904
265	0.2647655818
266	0.2643254223
267	0.264025788
268	0.2632407334
269	0.2628720615
270	0.2620628308
271	0.2615330005
272	0.2610649896
